epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_seconds,process_rss_mb
1,1.5470114818539669,0.4114376489277204,0.41902843393722894,0.41154780891623005,0.40672970438236794,1.7911675559149849,0.2222222222222222,0.13188997821350762,0.2222222222222222,0.1591540404040404,0.0001,9.429893900000025,496.23828125
2,0.8393246453844242,0.7283558379666402,0.7257247507001812,0.7284575074048759,0.7260059497172934,1.538584041595459,0.4222222222222222,0.3543265931049047,0.4222222222222222,0.33376711364516237,9.990133642141359e-05,9.437480499997037,490.62109375
3,0.5163268423724308,0.840349483717236,0.8406148953580185,0.8404268246373511,0.8399361714842262,1.1097405340936448,0.6277777777777778,0.6703720836868049,0.6277777777777779,0.6265871614129788,9.96057350657239e-05,9.53126290000364,494.640625
4,0.39634423226567844,0.8872120730738682,0.8879055020140129,0.8872788030682767,0.8864657364978178,0.7608319520950317,0.7833333333333333,0.8033757612704981,0.7833333333333333,0.7846023495902181,9.911436253643444e-05,9.31479599999875,497.9765625
5,0.3040139011156947,0.8967434471803019,0.8964795950760042,0.8967988152198677,0.8964911604593193,0.5616263058450487,0.8222222222222222,0.8402718732683637,0.8222222222222223,0.8221046242633099,9.842915805643155e-05,9.283299300004728,497.51953125
6,0.28258697086141826,0.90945194598888,0.9097952004603611,0.9094934305460621,0.9094554125510025,0.4398372769355774,0.85,0.8608332580343965,0.8500000000000001,0.8496274441238568,9.755282581475769e-05,9.148744599995553,490.3828125
7,0.22359348020447542,0.9189833200953137,0.9187953023410421,0.919028632186527,0.9188050543762901,0.3707774745093452,0.8722222222222222,0.8786659679798706,0.8722222222222222,0.8712244281220934,9.648882429441257e-05,9.55690969999705,491.2578125
8,0.200829605813818,0.9356632247815727,0.9356216631406203,0.9357066909698487,0.9355156556199183,0.3308331098821428,0.8777777777777778,0.8878932743674205,0.8777777777777778,0.878188569971277,9.524135262330098e-05,9.628564200000255,437.6328125
9,0.1901641505828824,0.9340746624305004,0.9339961099577332,0.9341004025214552,0.9339656706335498,0.28826490177048575,0.8833333333333333,0.89102586816764,0.8833333333333333,0.8831301088361526,9.381533400219317e-05,9.246808800002327,443.79296875
10,0.17010095493011385,0.9420174741858618,0.9420819685664691,0.9420634920634922,0.9419768315468938,0.22204812433984544,0.9055555555555556,0.908027760433279,0.9055555555555554,0.9048969636213751,9.221639627510075e-05,10.074015899997903,435.80078125
11,0.14114875638172492,0.9547259729944401,0.9550488129248235,0.954754310017468,0.9547787539721702,0.2011560148662991,0.9333333333333333,0.9363726580732403,0.9333333333333332,0.9328707942862916,9.045084971874735e-05,9.358668700006092,437.8359375
12,0.12013358905662895,0.9650516282764099,0.9652934541604736,0.965060378218273,0.9650900010219253,0.17795713891585668,0.9222222222222223,0.9265318627450979,0.9222222222222222,0.9217704599761051,8.852566213878945e-05,9.384579899997334,447.33984375
13,0.12401634583736432,0.960285941223193,0.9604236967422661,0.9603098655730236,0.9603563100582639,0.17914530270629458,0.9166666666666666,0.9196236559139784,0.9166666666666665,0.9165248465618641,8.644843137107056e-05,11.494980299998133,433.6328125
14,0.10229048921154832,0.9650516282764099,0.9651479468661179,0.9650755677071468,0.9650673339269584,0.15662710070610047,0.9222222222222223,0.9256087712497613,0.9222222222222222,0.9220601024390608,8.422735529643442e-05,10.963879199996882,441.84375
15,0.13650690344612781,0.9507545671167593,0.9510578393413195,0.9507784613047772,0.9507514464420422,0.13152402771843805,0.9611111111111111,0.9630264336917563,0.9611111111111112,0.9608535510873976,8.187119948743447e-05,9.082368700001098,434.37890625
