epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_seconds,process_rss_mb
1,1.510529329134795,0.4368546465448769,0.4380141652680309,0.43700539226855023,0.428865095099654,1.8157437059614394,0.15555555555555556,0.1326163464270881,0.15555555555555556,0.11922305642112406,0.0001,10.124625999997079,516.3984375
2,0.8027545595756118,0.744241461477363,0.7430869009675579,0.7443343206501102,0.7428567379379029,1.6529932075076632,0.28888888888888886,0.24243899941574362,0.28888888888888886,0.2521869742850276,9.990133642141359e-05,9.299184100003913,522.05078125
3,0.5288078734759208,0.8451151707704527,0.8463204418292251,0.8451925267714743,0.8448451855019569,1.336947660975986,0.5,0.5695409875716781,0.5000000000000001,0.48462540604050025,9.96057350657239e-05,9.509201699998812,520.4453125
4,0.39551359438725747,0.8776806989674345,0.8783869667862777,0.8777587909166856,0.877122117859899,1.051314147313436,0.6333333333333333,0.6813446215620128,0.6333333333333333,0.6306998419574862,9.911436253643444e-05,9.231934200004616,512.1953125
5,0.2937842683720153,0.9054805401111994,0.905014317868901,0.9055327713222449,0.9052426728435129,0.7607325964503818,0.7611111111111111,0.7852996086691739,0.7611111111111111,0.7655022531348449,9.842915805643155e-05,9.318031299997529,513.58984375
6,0.27206963748094865,0.90945194598888,0.9098181256067718,0.9094858358016252,0.9094863793704904,0.5757433334986369,0.8055555555555556,0.8374321665988331,0.8055555555555555,0.8139244121700262,9.755282581475769e-05,9.232915399996273,520.921875
7,0.224595636839522,0.9189833200953137,0.9191237986346192,0.9190286321865268,0.91896384963957,0.44167033831278485,0.8611111111111112,0.8703384418901661,0.861111111111111,0.863792892606452,9.648882429441257e-05,9.857944299998053,512.8984375
8,0.2004502656395422,0.9293089753772835,0.9294929444422785,0.9293574846206424,0.9292323891962354,0.38556617829534745,0.8555555555555555,0.8668657905217044,0.8555555555555555,0.8589670276037835,9.524135262330098e-05,9.356449299993983,513.19140625
9,0.1809426484314386,0.9444003177124702,0.9446572193379441,0.9444292549555707,0.944375180948133,0.35523213545481364,0.8722222222222222,0.8843439344516931,0.8722222222222223,0.8752126553986113,9.381533400219317e-05,9.218003799993312,517.71875
10,0.17813878746095207,0.9388403494837172,0.9388551369667951,0.9388812941444522,0.9387981525256812,0.2598386893669764,0.8888888888888888,0.8922450493845181,0.888888888888889,0.8889772612366164,9.221639627510075e-05,9.298326500000258,515.5234375
11,0.14582512889285235,0.9531374106433678,0.9530774867335846,0.9531670084301664,0.9531040435433379,0.22406742870807647,0.9111111111111111,0.9125838122605364,0.9111111111111111,0.9116214081769031,9.045084971874735e-05,9.39599140000064,515.1953125
12,0.13503892647547794,0.9571088165210484,0.9571270817716143,0.9571352623984204,0.9570566212148502,0.2096191982428233,0.9,0.90197917503952,0.9,0.8997734182671308,8.852566213878945e-05,9.24615890000132,518.1875
13,0.13369632594589206,0.9555202541699762,0.9558253559045781,0.9555441634389004,0.9555990925933147,0.1841826770040724,0.9222222222222223,0.9239015464821917,0.9222222222222222,0.9219620088472548,8.644843137107056e-05,10.35380509999959,516.3125
14,0.11668235989105522,0.9642573471008737,0.9643129152627554,0.9642857142857144,0.9642233284239302,0.16879635983043248,0.9277777777777778,0.92846990483253,0.9277777777777779,0.9279506653082646,8.422735529643442e-05,9.924477500004286,512.94140625
