,precision,recall,f1-score,support
Cr,0.9523809523809523,1.0,0.975609756097561,60.0
In,0.8285714285714286,0.9666666666666667,0.8923076923076924,60.0
Pa,0.9666666666666667,0.9666666666666667,0.9666666666666667,60.0
PS,0.9454545454545454,0.8666666666666667,0.9043478260869565,60.0
RS,0.9836065573770492,1.0,0.9917355371900827,60.0
Sc,0.9607843137254902,0.8166666666666667,0.8828828828828829,60.0
accuracy,0.9361111111111111,0.9361111111111111,0.9361111111111111,0.9361111111111111
macro avg,0.9395774106960221,0.9361111111111112,0.9355917268719737,360.0
weighted avg,0.939577410696022,0.9361111111111111,0.9355917268719738,360.0
