,precision,recall,f1-score,support
Cr,0.967741935483871,1.0,0.9836065573770492,60.0
In,0.873015873015873,0.9166666666666666,0.8943089430894309,60.0
Pa,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
PS,0.9166666666666666,0.9166666666666666,0.9166666666666666,60.0
RS,0.967741935483871,1.0,0.9836065573770492,60.0
Sc,0.9811320754716981,0.8666666666666667,0.9203539823008849,60.0
accuracy,0.9472222222222222,0.9472222222222222,0.9472222222222222,0.9472222222222222
macro avg,0.9482719699092188,0.9472222222222223,0.946979340024069,360.0
weighted avg,0.9482719699092189,0.9472222222222222,0.9469793400240689,360.0
