model,resolution,brightness_factor,n_seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,inference_mean_ms_mean,inference_mean_ms_std,inference_fps_mean,inference_fps_std,training_time_minutes_mean,training_time_minutes_std,parameters_millions,macs_millions,estimated_flops_millions,thop_version
MobileNetV3-Small,50,0.7,3,0.9462962962962962,0.00892930626017863,0.9484950670710898,0.007889419627410339,0.9462962962962962,0.008929306260178503,0.9459828905149666,0.009130408440584365,8.166144999777316,0.5420380918859676,122.8319075918639,8.476851124242826,4.988832487222196,0.6682470199780609,1.524006,5.448936,10.897872,2.1.6
MobileNetV3-Small,50,1.0,3,0.9490740740740741,0.006990587440065536,0.9510272105041228,0.008052364696564375,0.9490740740740741,0.006990587440065381,0.9489050247478698,0.007011506791304826,8.188706666599805,0.14395459173662684,122.14450016703144,2.1412225675113876,3.98779711944448,0.976782096971139,1.524006,5.448936,10.897872,2.1.6
MobileNetV3-Small,50,1.15,2,0.9527777777777777,0.007856742013183912,0.9537194866848879,0.00770395210540631,0.9527777777777778,0.007856742013183834,0.9526240434999342,0.007982816211143051,9.011444999814557,1.099444978440103,111.80209919006322,13.640460163282002,5.005616915833343,0.17048875413753523,1.524006,5.448936,10.897872,2.1.6
