run_id,model,resolution,brightness_factor,training_seed,split_seed,best_epoch,best_val_macro_f1,epochs_executed,training_time_minutes,total_run_time_minutes,accuracy,macro_precision,macro_recall,macro_f1,parameters,parameters_millions,macs,macs_millions,estimated_flops,estimated_flops_millions,thop_version,inference_mean_ms,inference_std_ms,inference_min_ms,inference_max_ms,inference_fps
MobileNetV3-Small__res50__light0p7__seed42,MobileNetV3-Small,50,0.7,42,42,24,0.9833317896946684,29,5.649872945,5.729446459999963,0.9527777777777777,0.9545661904051551,0.9527777777777776,0.952721892856056,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,7.540522999988752,1.7241123289967255,3.9569000000483356,10.328299998946022,132.61679594392746
MobileNetV3-Small__res50__light0p7__seed123,MobileNetV3-Small,50,0.7,123,42,22,0.9777762341391126,27,4.313604824999978,4.371118368333312,0.95,0.9513416001120919,0.9499999999999998,0.9496350518168701,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,8.494865999382455,1.444433219511529,5.414699997345451,10.66779999382561,117.71816060108497
MobileNetV3-Small__res50__light0p7__seed2026,MobileNetV3-Small,50,0.7,2026,42,23,0.9722004412917814,28,5.003019691666608,5.061460066666768,0.9361111111111111,0.9395774106960221,0.9361111111111112,0.9355917268719737,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,8.463045999960741,1.8482726971512076,4.717499999969732,11.35690000228351,118.16076623057926
MobileNetV3-Small__res50__light1p0__seed42,MobileNetV3-Small,50,1.0,42,42,14,0.9669936848702982,19,2.9089726283333825,2.962034994999946,0.9416666666666667,0.9418094690582288,0.9416666666666668,0.9414922860362251,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,8.172333000256913,1.4933985989136322,4.844400005822536,10.8948999986751,122.36407889504297
MobileNetV3-Small__res50__light1p0__seed123,MobileNetV3-Small,50,1.0,123,42,27,0.9834213207372419,32,4.812177000000035,4.866250193333326,0.9555555555555556,0.9566922579092414,0.9555555555555554,0.9554309164176981,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,8.053638999772375,1.4020193006674087,4.58220000291476,10.375099998782389,124.16747262054628
MobileNetV3-Small__res50__light1p0__seed2026,MobileNetV3-Small,50,1.0,2026,42,23,0.9888858016115588,28,4.242241730000023,4.297459713333228,0.95,0.954579904544898,0.9500000000000001,0.949791871789686,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,8.340147999770124,1.346890266236804,4.162899997027125,10.02629999857163,119.90194898550511
MobileNetV3-Small__res50__light1p15__seed42,MobileNetV3-Small,50,1.15,42,42,27,0.9778657651816863,32,5.1261706700000405,5.183644836666766,0.9583333333333334,0.9591670034605572,0.9583333333333334,0.9582687469757993,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,8.234020000018063,1.663736522823458,5.025700003898237,13.678900002560113,121.44736107002488
MobileNetV3-Small__res50__light1p15__seed123,MobileNetV3-Small,50,1.15,123,42,26,0.9833317896946684,31,4.885063161666646,4.94589443833332,0.9472222222222222,0.9482719699092188,0.9472222222222223,0.946979340024069,1524006,1.524006,5448936,5.448936,10897872,10.897872,2.1.6,9.788869999611052,2.562710598054635,5.274900002405047,17.96969999850262,102.15683731010155
