epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_seconds,process_rss_mb
1,1.2261037947735776,0.7037331215250199,0.7083280467903643,0.7038011695906433,0.7034808032506138,0.5935912284586164,0.9388888888888889,0.9392653543619897,0.938888888888889,0.9386585467495348,0.0001,47.761383600001864,697.98828125
2,0.3460969193006338,0.9642573471008737,0.9647327546743022,0.9642819169134959,0.9643316698204621,0.12947927299473022,0.9722222222222222,0.9742424242424242,0.9722222222222223,0.9724450013923699,9.990133642141359e-05,50.739961200000835,692.86328125
3,0.12647641285058522,0.9745830023828436,0.9746729905865954,0.9745993772309562,0.9746196735366687,0.043662549348341094,0.9944444444444445,0.9946236559139785,0.9944444444444445,0.9944429008057795,9.96057350657239e-05,68.3876941999988,664.6796875
4,0.07688912597793354,0.9833200953137411,0.9834686995577168,0.9833257385888965,0.9833048438319129,0.02018705654061503,1.0,1.0,1.0,1.0,9.911436253643444e-05,68.04732970000623,656.5
5,0.05419853534416323,0.988880063542494,0.9889034669588859,0.9888850915166705,0.9888811726647647,0.010032363215254412,1.0,1.0,1.0,1.0,9.842915805643155e-05,54.155652499997814,694.8515625
6,0.04998169594382937,0.988880063542494,0.9888992736227378,0.9888850915166705,0.988875404521156,0.00876457141712308,1.0,1.0,1.0,1.0,9.755282581475769e-05,55.19379389999813,774.90625
7,0.029216430329727313,0.9968228752978554,0.9968215269459345,0.9968178020809599,0.9968177748266266,0.009245093322048585,1.0,1.0,1.0,1.0,9.648882429441257e-05,54.02053660000092,722.81640625
8,0.034191285166075724,0.9928514694201748,0.9928607962531634,0.9928533454849244,0.9928533184898466,0.005614382432152828,1.0,1.0,1.0,1.0,9.524135262330098e-05,53.142876799996884,687.625
9,0.030727958896976316,0.9920571882446386,0.9920707978172434,0.9920634920634921,0.9920596315735953,0.005886641936376691,1.0,1.0,1.0,1.0,9.381533400219317e-05,52.295643700002984,707.97265625
