,precision,recall,f1-score,support
Cr,0.9836065573770492,1.0,0.9917355371900827,60.0
In,0.8484848484848485,0.9333333333333333,0.8888888888888888,60.0
Pa,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
PS,0.9661016949152542,0.95,0.957983193277311,60.0
RS,0.9836065573770492,1.0,0.9917355371900827,60.0
Sc,0.9622641509433962,0.85,0.9026548672566371,60.0
accuracy,0.9527777777777777,0.9527777777777777,0.9527777777777777,0.9527777777777777
macro avg,0.9545661904051551,0.9527777777777776,0.952721892856056,360.0
weighted avg,0.9545661904051551,0.9527777777777777,0.9527218928560559,360.0
