,precision,recall,f1-score,support
Cr,0.967741935483871,1.0,0.9836065573770492,60.0
In,0.8852459016393442,0.9,0.8925619834710744,60.0
Pa,0.9827586206896551,0.95,0.9661016949152542,60.0
PS,0.9473684210526315,0.9,0.9230769230769231,60.0
RS,0.967741935483871,1.0,0.9836065573770492,60.0
Sc,0.9,0.9,0.9,60.0
accuracy,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.9416666666666667
macro avg,0.9418094690582288,0.9416666666666668,0.9414922860362251,360.0
weighted avg,0.9418094690582289,0.9416666666666667,0.941492286036225,360.0
