,precision,recall,f1-score,support
Cr,0.967741935483871,1.0,0.9836065573770492,60.0
In,0.8769230769230769,0.95,0.912,60.0
Pa,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
PS,0.9649122807017544,0.9166666666666666,0.9401709401709402,60.0
RS,0.9836065573770492,1.0,0.9917355371900827,60.0
Sc,0.9636363636363636,0.8833333333333333,0.9217391304347826,60.0
accuracy,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556
macro avg,0.9566922579092414,0.9555555555555554,0.9554309164176981,360.0
weighted avg,0.9566922579092414,0.9555555555555556,0.9554309164176981,360.0
